NAME,BRAND,OPENED_ON,CLOSED_ON,ADDRESS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_CODE_2022,COUNTY,CURRENT_QUARTER,CURRENT_QUARTER_START,AGE_QUARTERS,CLOSED_NEXT_QUARTER
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2023Q1,2023-01-01,2,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2023Q2,2023-04-01,3,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2023Q3,2023-07-01,4,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2023Q4,2023-10-01,5,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2024Q1,2024-01-01,6,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2024Q2,2024-04-01,7,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2024Q3,2024-07-01,8,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2024Q4,2024-10-01,9,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2025Q1,2025-01-01,10,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2025Q2,2025-04-01,11,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2025Q3,2025-07-01,12,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2025Q4,2025-10-01,13,0
Shell Oil,Shell Oil,2022-08-01,,13 N River Rd,41.808046,-88.321403,447110,457110,Kane County,2026Q1,2026-01-01,14,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2023Q3,2023-07-01,0,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2023Q4,2023-10-01,1,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2024Q1,2024-01-01,2,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2024Q2,2024-04-01,3,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2024Q3,2024-07-01,4,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2024Q4,2024-10-01,5,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2025Q1,2025-01-01,6,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2025Q2,2025-04-01,7,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2025Q3,2025-07-01,8,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2025Q4,2025-10-01,9,0
Shell Oil,Shell Oil,2023-09-01,,7700 S Kedzie Ave,41.753191,-87.702814,447110,457110,Cook County,2026Q1,2026-01-01,10,0
Ivy Rehab,Ivy Rehab,2024-11-01,,1055 W Orchard Rd,41.816806,-88.350382,621399,621399,Kane County,2024Q4,2024-10-01,0,0
Ivy Rehab,Ivy Rehab,2024-11-01,,1055 W Orchard Rd,41.816806,-88.350382,621399,621399,Kane County,2025Q1,2025-01-01,1,0
Ivy Rehab,Ivy Rehab,2024-11-01,,1055 W Orchard Rd,41.816806,-88.350382,621399,621399,Kane County,2025Q2,2025-04-01,2,0
Ivy Rehab,Ivy Rehab,2024-11-01,,1055 W Orchard Rd,41.816806,-88.350382,621399,621399,Kane County,2025Q3,2025-07-01,3,0
Ivy Rehab,Ivy Rehab,2024-11-01,,1055 W Orchard Rd,41.816806,-88.350382,621399,621399,Kane County,2025Q4,2025-10-01,4,0
Ivy Rehab,Ivy Rehab,2024-11-01,,1055 W Orchard Rd,41.816806,-88.350382,621399,621399,Kane County,2026Q1,2026-01-01,5,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2020Q3,2020-07-01,0,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2020Q4,2020-10-01,1,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2021Q1,2021-01-01,2,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2021Q2,2021-04-01,3,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2021Q3,2021-07-01,4,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2021Q4,2021-10-01,5,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2022Q1,2022-01-01,6,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2022Q2,2022-04-01,7,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2022Q3,2022-07-01,8,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2022Q4,2022-10-01,9,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2023Q1,2023-01-01,10,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2023Q2,2023-04-01,11,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2023Q3,2023-07-01,12,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2023Q4,2023-10-01,13,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2024Q1,2024-01-01,14,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2024Q2,2024-04-01,15,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2024Q3,2024-07-01,16,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2024Q4,2024-10-01,17,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2025Q1,2025-01-01,18,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2025Q2,2025-04-01,19,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2025Q3,2025-07-01,20,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2025Q4,2025-10-01,21,0
T-mobile Authorized Retailer,T-Mobile,2020-08-01,,4219 S State Route 159,38.77219,-89.95711,517312,517112,Madison County,2026Q1,2026-01-01,22,0
Pizza Hut,Pizza Hut,2020-10-01,2022-01-01,320 S Lincolnway # 250,41.79176,-88.325024,722513,722513,Kane County,2020Q4,2020-10-01,0,0
Pizza Hut,Pizza Hut,2020-10-01,2022-01-01,320 S Lincolnway # 250,41.79176,-88.325024,722513,722513,Kane County,2021Q1,2021-01-01,1,0
Pizza Hut,Pizza Hut,2020-10-01,2022-01-01,320 S Lincolnway # 250,41.79176,-88.325024,722513,722513,Kane County,2021Q2,2021-04-01,2,0
Pizza Hut,Pizza Hut,2020-10-01,2022-01-01,320 S Lincolnway # 250,41.79176,-88.325024,722513,722513,Kane County,2021Q3,2021-07-01,3,0
Pizza Hut,Pizza Hut,2020-10-01,2022-01-01,320 S Lincolnway # 250,41.79176,-88.325024,722513,722513,Kane County,2021Q4,2021-10-01,4,1
OSF HealthCare,OSF HealthCare,2025-03-01,,707 N Logan Ave Ste 201,40.134487,-87.644413,621111,621111,Vermilion County,2025Q1,2025-01-01,0,0
OSF HealthCare,OSF HealthCare,2025-03-01,,707 N Logan Ave Ste 201,40.134487,-87.644413,621111,621111,Vermilion County,2025Q2,2025-04-01,1,0
OSF HealthCare,OSF HealthCare,2025-03-01,,707 N Logan Ave Ste 201,40.134487,-87.644413,621111,621111,Vermilion County,2025Q3,2025-07-01,2,0
OSF HealthCare,OSF HealthCare,2025-03-01,,707 N Logan Ave Ste 201,40.134487,-87.644413,621111,621111,Vermilion County,2025Q4,2025-10-01,3,0
OSF HealthCare,OSF HealthCare,2025-03-01,,707 N Logan Ave Ste 201,40.134487,-87.644413,621111,621111,Vermilion County,2026Q1,2026-01-01,4,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2021Q3,2021-07-01,0,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2021Q4,2021-10-01,1,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2022Q1,2022-01-01,2,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2022Q2,2022-04-01,3,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2022Q3,2022-07-01,4,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2022Q4,2022-10-01,5,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2023Q1,2023-01-01,6,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2023Q2,2023-04-01,7,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2023Q3,2023-07-01,8,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2023Q4,2023-10-01,9,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2024Q1,2024-01-01,10,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2024Q2,2024-04-01,11,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2024Q3,2024-07-01,12,0
Saint Laurent,Saint Laurent,2021-07-01,2025-01-01,5220 Fashion Outlets Way Ste 2087,41.974974,-87.86712,448120,458110,Cook County,2024Q4,2024-10-01,13,1
Schweiger Dermatology,Schweiger Dermatology,2026-02-01,,4107 S Water Tower Pl Ste 375,38.304764,-88.939237,621111,621111,Jefferson County,2026Q1,2026-01-01,0,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2019Q4,2019-10-01,0,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2020Q1,2020-01-01,1,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2020Q2,2020-04-01,2,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2020Q3,2020-07-01,3,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2020Q4,2020-10-01,4,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2021Q1,2021-01-01,5,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2021Q2,2021-04-01,6,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2021Q3,2021-07-01,7,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2021Q4,2021-10-01,8,0
Domino's Pizza,Domino's Pizza,2019-12-01,,3300 Orchard Rd,41.687105,-88.379573,722513,722513,Kendall County,2022Q1,2022-01-01,9,0
